itemNumber,path,url,main,show
100.554UK,1/0/100554UK_LS13.jpg,https://www.avsl.com/assets/images/1/0/100554UK_LS13.jpg,0,0
100.554UK,1/0/100554UK_GLS1.jpg,https://www.avsl.com/assets/images/1/0/100554UK_GLS1.jpg,0,0
100.554UK,1/0/100554UK_GLS6.jpg,https://www.avsl.com/assets/images/1/0/100554UK_GLS6.jpg,0,0
100.554UK,1/0/100554UK_GLS3.jpg,https://www.avsl.com/assets/images/1/0/100554UK_GLS3.jpg,0,0
100.554UK,1/0/100554UK_LS5.jpg,https://www.avsl.com/assets/images/1/0/100554UK_LS5.jpg,0,0
100.554UK,1/0/100554UK_LS11.jpg,https://www.avsl.com/assets/images/1/0/100554UK_LS11.jpg,0,0
100.554UK,1/0/100554UK_LS14.jpg,https://www.avsl.com/assets/images/1/0/100554UK_LS14.jpg,0,0
100.554UK,1/0/100554UK_GLS5.jpg,https://www.avsl.com/assets/images/1/0/100554UK_GLS5.jpg,0,0
100.554UK,1/0/100554UK_GLS4.jpg,https://www.avsl.com/assets/images/1/0/100554UK_GLS4.jpg,0,0
100.554UK,1/0/100554UK_LS3.jpg,https://www.avsl.com/assets/images/1/0/100554UK_LS3.jpg,0,1
100.563UK,1/0/100563UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100563UK_CO1.jpg,1,1
100.563UK,1/0/100563UK_CO2.jpg,https://www.avsl.com/assets/images/1/0/100563UK_CO2.jpg,0,1
100.563UK,1/0/100563UK_CO3.jpg,https://www.avsl.com/assets/images/1/0/100563UK_CO3.jpg,0,1
100.563UK,1/0/100563UK_LS1.jpg,https://www.avsl.com/assets/images/1/0/100563UK_LS1.jpg,0,1
100.582UK,1/0/100582UK_IN1.jpg,https://www.avsl.com/assets/images/1/0/100582UK_IN1.jpg,0,1
100.582UK,1/0/100582UK_CO3.jpg,https://www.avsl.com/assets/images/1/0/100582UK_CO3.jpg,0,1
100.582UK,1/0/100582UK_CO2.jpg,https://www.avsl.com/assets/images/1/0/100582UK_CO2.jpg,0,1
100.582UK,1/0/100582UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100582UK_CO1.jpg,1,1
100.582UK,1/0/100582UK_LS1.jpg,https://www.avsl.com/assets/images/1/0/100582UK_LS1.jpg,0,0
100.582UK,1/0/100582UK_LS2.jpg,https://www.avsl.com/assets/images/1/0/100582UK_LS2.jpg,0,1
100.582UK,1/0/100582UK_LS3.jpg,https://www.avsl.com/assets/images/1/0/100582UK_LS3.jpg,0,1
100.596UK,1/0/100596UK_IN2.jpg,https://www.avsl.com/assets/images/1/0/100596UK_IN2.jpg,0,1
